placeID;name;address;city;state_;alcohol;smoking_area;dress_code;price;area
135048;Restaurante Bar Fu-hao;Jesus Goytortua 390 Tangamanga;San Luis Potosi;San Luis Potosi;Wine-Beer;none;informal;high;closed
132717;tortas hawai;;;;No_Alcohol_Served;not permitted;informal;medium;closed
132861;Carls Jr;Av. V. Carranza;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;not permitted;informal;medium;closed
132885;Hamburguesas saul;Av. Saan Luis enttre moctezuma y salinas;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;low;closed
132740;Carreton de Flautas y Migadas;;Cd Victoria;Tamaulipas;No_Alcohol_Served;permitted;informal;low;open
132830;Rincon Huasteco;;;;No_Alcohol_Served;none;informal;low;closed
132773;El cotorreo;Emiliano Zapata Col. Tres de Mayo;Cuernavaca;Morelos;Wine-Beer;permitted;informal;low;open
132706;Gorditas Dona Tota;Zaragoza entre Francisco Zarco y Lopez Velarde;Cd Victoria;Tamaulipas;No_Alcohol_Served;not permitted;informal;medium;closed
132872;Pizzeria Julios;;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;not permitted;informal;medium;closed
134987;Chilis Cuernavaca;Rio Mayo Colonia Vista Hermosa Esq. Rio Balsas;Cuernavaca;Morelos;Wine-Beer;none;informal;medium;closed
132572;Cafe Chaires;;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;not permitted;informal;low;closed
132958;tacos los volcanes;avenida hivno nacional;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;low;closed
132733;Little Cesarz;;Cd Victoria;Tamaulipas;No_Alcohol_Served;not permitted;informal;medium;closed
132922;cafe punta del cielo;;;;No_Alcohol_Served;permitted;formal;medium;closed
132715;tacos de la estacion;;;;No_Alcohol_Served;none;informal;low;open
135027;Restaurant Orizatlan;Pascual M. Hernandez 240;San Luis Potosi;San Luis Potosi;Wine-Beer;none;informal;medium;closed
132767;Restaurant Familiar El Chino;Paseo de las Fuentes;Jiutepec;Morelos;Wine-Beer;permitted;casual;medium;open
135039;Restaurant de Mariscos de Picon;Miguel Barragan 46 Centro;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;section;informal;low;closed
134996;Sanborns Casa Piedra;Lomas del Mirador;Cuernavaca;Morelos;Wine-Beer;only at bar;informal;medium;closed
132755;La Estrella de Dimas;Av. de los Pintores;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;medium;closed
135043;pizza clasica;524 Soledad de Graciano Sanchez;Soledad;San Luis Potosi;No_Alcohol_Served;none;informal;medium;closed
132654;Carnitas Mata  Calle 16 de Septiembre;16 de Septiembre;Cd Victoria;tamaulipas;No_Alcohol_Served;none;informal;low;closed
135049;Restaurante de Mariscos la Langosta;Cordillera de Los Alpes 675 Loma Verde;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;medium;closed
135073;Restaurante Bar El Gallinero;Pascual M. Hernandez 210 Centro;San Luis Potosi;San Luis Potosi;Wine-Beer;section;informal;high;closed
132560;puesto de gorditas;frente al tecnologico;Cd Victoria;tamaulipas;No_Alcohol_Served;permitted;informal;low;open
134976;Log Yin;;;;No_Alcohol_Served;none;informal;low;closed
135075;Mariscos El Pescador;Himno Nacional 2104 Tangamanga;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;medium;closed
132660;carnitas mata calle Emilio Portes Gil;Emilio Portes Gil;Cd Victoria;tamaulipas;No_Alcohol_Served;none;informal;low;closed
132921;crudalia;;;;Wine-Beer;section;casual;low;open
132594;tacos de barbacoa enfrente del Tec;;;;No_Alcohol_Served;not permitted;informal;low;open
134986;Restaurant Las Mananitas;Ricardo Linares 107;Cuernavaca;Morelos;Wine-Beer;none;formal;high;closed
135062;Restaurante El Cielo Potosino;Julian de Los Reyes 400 Centro;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;medium;closed
132766;Mikasa;Himno nacional esq. Blvd. Juarez;Cuernavaca;Morelos;Wine-Beer;none;informal;medium;closed
135088;Cafeteria cenidet;Interior Internado Palmira SN;Cuernavaca;Morelos;No_Alcohol_Served;not permitted;informal;low;closed
135058;Restaurante Tiberius;Munoz Sn Centro;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;medium;closed
132754;Cabana Huasteca;Cuauhtemoc 455;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;medium;closed
132584;Gorditas Dona Tota;;;;No_Alcohol_Served;not permitted;informal;medium;closed
135032;Cafeteria y Restaurant El Pacifico;Constitucion 200 Centro;San Luis Potosi;San Luis Potosi;Wine-Beer;section;informal;medium;closed
135028;La Virreina;Av. Carranza 830;San Luis Potosi;San Luis Potosi;Wine-Beer;none;informal;medium;closed
135085;Tortas Locas Hipocampo;Venustiano Carranza 719 Centro;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;not permitted;informal;medium;closed
132663;tacos abi;;Cd Victoria;tamaulipas;No_Alcohol_Served;none;informal;low;closed
132626;la perica hamburguesa;;Cd Victoria;tamaulipas;No_Alcohol_Served;none;informal;medium;closed
132583;McDonalds Centro;Rayon sn col. Centro;Cuernavaca;Morelos;No_Alcohol_Served;not permitted;informal;low;closed
132866;Chaires;Ricardo B. Anaya;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;not permitted;informal;medium;closed
135072;Sushi Itto;Venustiano Carranza 1809 C Polanco;San Luis Potosi;San Luis Potosi;No_Alcohol_Served;none;informal;medium;closed
135109;Paniroles;;;;Wine-Beer;not permitted;informal;medium;closed
135019;Restaurant Bar Coty y Pablo;Paseo de Las Fuentes 24 Pedregal de Las Fuentes;Jiutepec;Morelos;No_Alcohol_Served;none;informal;low;closed
132877;sirloin stockade;;;;No_Alcohol_Served;none;informal;low;closed
