placeID;parking_lot;Restcuisine
132878;none;
132879;none;
132881;none;
132882;none;
132883;none;
132884;none;
132886;none;American
132889;none;Mexican
132890;none;Mexican
132891;none;Mexican
132893;none;Mexican
132894;none;Mexican
132895;none;Mexican
132896;none;Mexican
132897;none;Mexican
132898;none;
132899;none;Mexican
132901;none;Regional
132902;none;Mexican
132903;none;Mexican
132904;none;Mexican
132905;none;
132906;none;Mexican
132907;none;Mexican
132908;none;Mexican
132910;none;Mexican
132911;none;Mexican
132912;none;Mexican
132913;none;Mexican
132914;none;Mexican
132915;none;Mexican
132916;none;American
132917;none;American
132917;none;Mexican
132918;none;Mexican
132919;none;Mexican
132920;none;Mexican
132921;none;Bar
132922;none;Cafeteria
132923;none;Family
132924;none;Pizzeria
132925;none;Mexican
132926;none;Mexican
132927;none;Mexican
132928;none;Mexican
132930;none;Mexican
132931;none;
132933;none;American
132934;none;Mexican
132935;none;Mexican
132936;none;Mexican
132937;none;Bar
132938;none;Mexican
132939;none;Mexican
132940;none;Burgers
132941;none;Mexican
132942;none;Mexican
132944;none;
132945;none;Mexican
132947;none;Mexican
132948;none;Mexican
132950;none;Mexican
132955;none;Bar_Pub_Brewery
132956;none;African
132957;none;American
132958;none;American
132959;none;Mexican
132961;none;Mexican
132962;none;Burgers
132962;none;Hot_Dogs
132963;none;Mexican
132964;none;Bar
132970;none;American
132971;none;Mexican
132972;none;Mexican
132973;none;Mexican
132974;none;
132975;none;
132976;none;
132977;none;
132978;none;
132979;none;
132980;none;Mexican
132981;none;
132982;none;
132983;none;
132984;none;
132985;none;Mexican
132986;none;Mexican
132992;none;American
132993;none;Mexican
132994;none;American
132995;none;American
132996;none;Mexican
132998;none;
132999;none;
133000;none;Family
133001;none;
133002;none;
133003;none;
133004;none;
133005;none;
133006;none;
133007;none;American
133011;none;
133012;none;
133013;none;
133015;none;
133016;none;
133017;none;
133018;none;
133019;none;
133020;none;American
133021;none;
133022;none;
133023;none;
133024;none;
133025;none;
133026;none;Family
133027;none;Cafeteria
133028;none;Mexican
133030;none;Family
133031;none;Mexican
133032;none;Mexican
133033;none;American
133034;none;Mexican
133036;none;Family
133037;none;Mexican
133038;none;Cafeteria
133039;none;Family
133040;none;
133041;none;
133042;none;
134972;none;Cafe-Coffee_Shop
134972;none;Cafeteria
134973;none;Mexican
134979;none;
134980;none;Seafood
134981;none;Italian
134982;none;Bar
134982;none;Bar_Pub_Brewery
134987;none;
134993;none;
134994;none;
134995;none;
134997;none;Bar
134997;none;Cafe-Coffee_Shop
134997;none;Cafeteria
134999;none;Japanese
135000;none;
135002;none;Mexican
135004;none;Bar
135004;none;Bar_Pub_Brewery
135005;none;Mexican
135007;none;Bar
135007;none;Bar_Pub_Brewery
135007;none;Mexican
135009;none;
135010;none;
135011;none;
135012;none;
135013;none;
135014;none;
135015;none;
135016;none;
135017;none;
135019;none;Bar
135022;none;Mexican
135023;none;
135025;none;Mexican
135026;none;Bar
135026;none;Bar_Pub_Brewery
135027;none;Mexican
135028;none;Mexican
135029;none;Bar
135029;none;Bar_Pub_Brewery
135030;none;Cafe-Coffee_Shop
135030;none;Cafeteria
135033;none;
135034;none;Japanese
135038;none;
135041;none;Bar
135041;none;Cafeteria
135042;none;Chinese
135043;none;Fast_Food
135043;none;Pizzeria
135044;none;Chinese
135049;none;Seafood
135051;none;
135052;none;Bar
135052;none;Bar_Pub_Brewery
135056;none;Bar
135060;none;Seafood
135063;none;
135065;none;
135067;none;
135072;none;Japanese
135079;none;Chinese
135080;none;
135081;none;
135082;none;
135092;none;Cafeteria
135092;none;Mexican
135100;none;Mexican
135100;none;Steaks
135105;none;Fast_Food
135106;none;Mexican
135107;none;Latin_American
135108;none;
135109;none;Italian
135110;none;Spanish
132012;public;Dutch-Belgian
132012;public;French
132023;public;Dutch-Belgian
132023;public;French
132107;public;Japanese
132111;public;
132155;public;French
132155;public;Mediterranean
132204;public;International
132243;public;French
132243;public;Italian
132281;public;Bar_Pub_Brewery
132292;public;Cafe-Coffee_Shop
132297;public;French
132326;public;Pizzeria
132396;public;International
132399;public;Cafe-Coffee_Shop
132409;public;Seafood
132449;public;Cafe-Coffee_Shop
132449;public;Dutch-Belgian
132483;public;Armenian
132483;public;German
132483;public;Persian
132491;public;Bakery
132491;public;Cafe-Coffee_Shop
132521;public;Dutch-Belgian
132521;public;French
132530;public;Cafe-Coffee_Shop
132530;public;Dutch-Belgian
132531;public;Barbecue
132531;public;Dutch-Belgian
132557;public;Italian
132560;public;Regional
132587;public;American
132588;public;Mexican
132593;public;Mexican
132594;public;Mexican
132597;public;
132599;public;Mexican
132600;public;American
132601;public;Cafe-Coffee_Shop
132602;public;Mexican
132605;public;American
132608;public;Mexican
132618;public;Fast_Food
132620;public;Fast_Food
132680;public;Mexican
132681;public;Mexican
132696;public;Mexican
132698;public;Mexican
132701;public;Mexican
132702;public;Mexican
132704;public;Mexican
132705;public;Mexican
132706;public;Mexican
132707;public;Mexican
132709;public;Mexican
132710;public;Mexican
132711;public;Mexican
132712;public;Mexican
132717;public;Fast_Food
132722;public;
132723;public;Mexican
132735;public;Mexican
132737;public;Mexican
132738;public;Hot_Dogs
132739;public;Mexican
132741;public;Mexican
132746;public;Mexican
132753;public;Mexican
132755;public;Mexican
132761;public;Mexican
132763;public;Mexican
132764;public;Mexican
132772;public;Mexican
132777;public;Mexican
132779;public;Mexican
132780;public;
132781;public;Mexican
132785;public;Mexican
132808;public;
132826;public;
132834;public;Mexican
132843;public;Mexican
132852;public;Latin_American
132852;public;Mexican
132864;public;Mexican
132868;public;Mexican
132871;public;Mexican
132872;public;American
132885;public;Cafeteria
132900;public;Mexican
132909;public;Mexican
132929;public;Mexican
132932;public;Mexican
132943;public;Mexican
132946;public;Mexican
132965;public;Bar
132966;public;Bar
132967;public;Bar
132969;public;Bar
132997;public;
133014;public;Contemporary
133035;public;Caribbean
135021;public;Fast_Food
135032;public;Cafeteria
135032;public;Contemporary
135058;public;Pizzeria
135074;public;Contemporary
135085;public;Fast_Food
135088;public;Cafeteria
135090;public;Mexican
135094;public;Mexican
135101;public;Mexican
135101;public;Steaks
135111;public;
132012;street;Dutch-Belgian
132012;street;French
132024;street;Continental-European
132024;street;Seafood
132030;street;Dutch-Belgian
132030;street;French
132031;street;Family
132031;street;Fine_Dining
132031;street;German
132159;street;French
132160;street;Dutch-Belgian
132161;street;French
132161;street;International
132184;street;Italian
132184;street;Mediterranean
132204;street;International
132207;street;International
132207;street;Italian
132231;street;Italian
132281;street;Bar_Pub_Brewery
132292;street;Cafe-Coffee_Shop
132296;street;Barbecue
132296;street;Dutch-Belgian
132296;street;French
132297;street;French
132355;street;Greek
132377;street;Greek
132392;street;Contemporary
132392;street;Continental-European
132409;street;Seafood
132436;street;International
132439;street;Dutch-Belgian
132439;street;French
132442;street;French
132442;street;International
132443;street;French
132443;street;International
132449;street;Cafe-Coffee_Shop
132449;street;Dutch-Belgian
132479;street;German
132481;street;German
132491;street;Bakery
132491;street;Cafe-Coffee_Shop
132527;street;Dutch-Belgian
132527;street;French
132531;street;Barbecue
132531;street;Dutch-Belgian
132535;street;International
132545;street;International
132557;street;Italian
132184;valet parking;Italian
132184;valet parking;Mediterranean
132243;valet parking;French
132243;valet parking;Italian
132289;valet parking;Contemporary
132289;valet parking;French
132635;valet parking;American
132783;valet parking;International
132784;valet parking;Italian
132786;valet parking;International
132789;valet parking;Mexican
132790;valet parking;International
132791;valet parking;Mexican
132792;valet parking;International
132793;valet parking;Mexican
132862;valet parking;International
132875;valet parking;Japanese
132887;valet parking;Italian
134975;valet parking;
134988;valet parking;Mediterranean
135098;valet parking;Brazilian
135098;valet parking;International
135098;valet parking;Latin_American
135098;valet parking;Steaks
135099;valet parking;Asian
135099;valet parking;Dessert-Ice_Cream
135099;valet parking;International
135099;valet parking;Mongolian
135099;valet parking;Steaks
135099;valet parking;Vegetarian
135102;valet parking;Latin_American
135102;valet parking;Mexican
135102;valet parking;Steaks
135103;valet parking;Burgers
135103;valet parking;Dessert-Ice_Cream
135103;valet parking;Fast_Food
135103;valet parking;Hot_Dogs
132243;validated parking;French
132243;validated parking;Italian
132289;validated parking;Contemporary
132289;validated parking;French
132333;validated parking;Japanese
132333;validated parking;Sushi
132031;yes;Family
132031;yes;Fine_Dining
132031;yes;German
132111;yes;
132157;yes;Greek
132177;yes;Bagels
132177;yes;Cafe-Coffee_Shop
132177;yes;Deli-Sandwiches
132182;yes;Continental-European
132182;yes;Italian
132237;yes;Japanese
132237;yes;Seafood
132237;yes;Sushi
132302;yes;American
132302;yes;Polish
132326;yes;Pizzeria
132482;yes;German
132484;yes;Italian
132487;yes;Southwestern
132572;yes;Cafeteria
132574;yes;Pizzeria
132575;yes;Diner
132582;yes;Bakery
132584;yes;Mexican
132585;yes;
132586;yes;
132589;yes;Cafeteria
132590;yes;Hot_Dogs
132598;yes;Mexican
132603;yes;Mexican
132609;yes;Fast_Food
132610;yes;Mexican
132611;yes;Mexican
132612;yes;Pizzeria
132613;yes;Mexican
132616;yes;
132617;yes;Mexican
132619;yes;Mexican
132622;yes;Chinese
132624;yes;Mexican
132625;yes;Mexican
132626;yes;Italian
132629;yes;Mexican
132636;yes;American
132638;yes;American
132640;yes;American
132645;yes;American
132650;yes;American
132653;yes;American
132655;yes;American
132658;yes;American
132682;yes;American
132683;yes;American
132684;yes;American
132685;yes;Barbecue
132686;yes;Thai
132687;yes;Japanese
132689;yes;American
132691;yes;Mexican
132692;yes;Mexican
132693;yes;Bar
132695;yes;Mexican
132697;yes;Mexican
132699;yes;Mexican
132700;yes;Mexican
132724;yes;American
132726;yes;
132727;yes;
132728;yes;
132733;yes;Pizzeria
132736;yes;Korean
132745;yes;American
132747;yes;Chinese
132750;yes;Burgers
132751;yes;Burgers
132766;yes;Japanese
132767;yes;Vietnamese
132770;yes;Spanish
132771;yes;Japanese
132774;yes;American
132774;yes;Bakery
132774;yes;Breakfast-Brunch
132774;yes;Burgers
132774;yes;Cafe-Coffee_Shop
132774;yes;Cafeteria
132774;yes;Diner
132774;yes;Family
132774;yes;Mexican
132782;yes;Family
132787;yes;International
132788;yes;American
132796;yes;American
132797;yes;Cafeteria
132801;yes;Mexican
132804;yes;Bar
132805;yes;Mexican
132806;yes;Mexican
132807;yes;Cafeteria
132811;yes;International
132815;yes;
132819;yes;
132821;yes;
132824;yes;
132828;yes;Mexican
132835;yes;Mexican
132850;yes;
132851;yes;American
132851;yes;Game
132854;yes;International
132859;yes;International
132860;yes;International
132861;yes;Burgers
132863;yes;International
132865;yes;Mexican
132866;yes;Bakery
132866;yes;Cafeteria
132867;yes;Bar
132867;yes;Mexican
132869;yes;Pizzeria
132880;yes;
132888;yes;Afghan
132892;yes;Chinese
132951;yes;American
132953;yes;Mexican
132954;yes;Breakfast-Brunch
132960;yes;Mexican
132968;yes;Bar
133008;yes;American
133009;yes;American
133010;yes;Italian
133029;yes;Bar
133043;yes;International
133047;yes;American
133048;yes;Mexican
133049;yes;Latin_American
134970;yes;
134971;yes;Mexican
134974;yes;
134976;yes;Burgers
134976;yes;Mediterranean
134976;yes;Mexican
134977;yes;
134978;yes;
134983;yes;Bar
134983;yes;Bar_Pub_Brewery
134984;yes;Italian
134985;yes;Mexican
134986;yes;International
134989;yes;Mexican
134990;yes;Bar
134990;yes;Bar_Pub_Brewery
134991;yes;
134992;yes;
134996;yes;
134998;yes;
135001;yes;
135003;yes;Chinese
135006;yes;
135008;yes;Contemporary
135018;yes;Mexican
135020;yes;Bar
135020;yes;Mexican
135024;yes;
135031;yes;Seafood
135035;yes;Italian
135036;yes;Bar
135037;yes;Mexican
135039;yes;Seafood
135040;yes;
135045;yes;
135046;yes;Fast_Food
135047;yes;
135048;yes;Bar
135050;yes;
135053;yes;Cafeteria
135053;yes;Fast_Food
135053;yes;Pizzeria
135054;yes;Seafood
135055;yes;Mexican
135057;yes;Bar
135059;yes;Bar
135061;yes;Contemporary
135062;yes;
135064;yes;
135066;yes;
135068;yes;
135069;yes;Bar
135070;yes;
135071;yes;Bar
135071;yes;Bar_Pub_Brewery
135073;yes;Bar
135073;yes;Bar_Pub_Brewery
135075;yes;Seafood
135076;yes;
135077;yes;
135078;yes;
135084;yes;
135086;yes;Burgers
135086;yes;Fast_Food
135089;yes;Seafood
135093;yes;Mexican
135097;yes;Cafe-Coffee_Shop
135097;yes;Cafeteria
135097;yes;Contemporary
135097;yes;Deli-Sandwiches
135097;yes;Diner
135097;yes;Mexican
135104;yes;Mexican
132001;;Dutch-Belgian
132002;;Seafood
132003;;International
132004;;Seafood
132005;;French
132005;;Seafood
132006;;Dutch-Belgian
132007;;Mediterranean
132008;;International
132009;;International
132010;;Dutch-Belgian
132010;;Mediterranean
132013;;International
132014;;Dutch-Belgian
132015;;Dutch-Belgian
132016;;International
132017;;Dutch-Belgian
132018;;Dutch-Belgian
132019;;Dutch-Belgian
132020;;International
132021;;Dutch-Belgian
132022;;Dutch-Belgian
132025;;Dutch-Belgian
132028;;Italian
132028;;Seafood
132083;;International
132087;;Cafe-Coffee_Shop
132092;;Family
132094;;Pizzeria
132096;;Dutch-Belgian
132097;;Cafe-Coffee_Shop
132098;;Dutch-Belgian
132100;;American
132100;;Bar_Pub_Brewery
132101;;American
132101;;Bar_Pub_Brewery
132102;;Cafe-Coffee_Shop
132103;;Italian
132105;;French
132106;;Vegetarian
132108;;Japanese
132108;;Steaks
132108;;Sushi
132109;;Organic-Healthy
132109;;Vegetarian
132114;;Cafe-Coffee_Shop
132115;;Asian
132116;;Asian
132118;;Vegetarian
132119;;Vegetarian
132120;;Asian
132121;;Italian
132125;;Family
132125;;Mexican
132126;;Family
132126;;Mexican
132127;;Eastern_European
132128;;Fast_Food
132128;;Vegetarian
132130;;Turkish
132131;;Italian
132132;;Pizzeria
132133;;Japanese
132136;;Pizzeria
132137;;Deli-Sandwiches
132137;;Pizzeria
132138;;Bakery
132145;;Deli-Sandwiches
132146;;Deli-Sandwiches
132147;;Deli-Sandwiches
132147;;Pizzeria
132148;;
132156;;Dutch-Belgian
132162;;International
132163;;Cafe-Coffee_Shop
132165;;International
132166;;Dutch-Belgian
132166;;French
132166;;International
132167;;Bar_Pub_Brewery
132171;;Asian
132171;;Chinese
132174;;Chinese
132175;;Chinese
132180;;Italian
132186;;Italian
132186;;Pizzeria
132187;;Bar_Pub_Brewery
132187;;Cafe-Coffee_Shop
132191;;Polish
132192;;Dutch-Belgian
132201;;French
132203;;Dutch-Belgian
132208;;Dutch-Belgian
132209;;Chinese
132210;;Chinese
132211;;French
132212;;French
132213;;Cafe-Coffee_Shop
132214;;American
132214;;Bar_Pub_Brewery
132215;;Dutch-Belgian
132216;;Italian
132216;;Pizzeria
132217;;Italian
132217;;Pizzeria
132218;;Dutch-Belgian
132221;;American
132223;;Bakery
132223;;Cafe-Coffee_Shop
132223;;Deli-Sandwiches
132225;;Chinese
132226;;American
132226;;Seafood
132228;;California
132228;;Italian
132229;;Italian
132230;;Italian
132232;;Italian
132233;;Italian
132234;;Italian
132235;;American
132235;;Burgers
132238;;Japanese
132238;;Sushi
132239;;Burgers
132240;;American
132240;;Bar_Pub_Brewery
132242;;Greek
132244;;French
132244;;German
132244;;Italian
132245;;German
132246;;Italian
132246;;Mediterranean
132247;;Pizzeria
132249;;International
132250;;Eastern_European
132253;;Cafeteria
132253;;Fast_Food
132253;;Polish
132255;;Bar_Pub_Brewery
132255;;Game
132257;;Bar_Pub_Brewery
132258;;Cafeteria
132258;;Polish
132258;;Seafood
132262;;Chinese
132265;;Asian
132266;;Chinese
132268;;Chinese
132269;;Chinese
132270;;Bar_Pub_Brewery
132271;;Bar_Pub_Brewery
132272;;Contemporary
132273;;Latin_American
132273;;Spanish
132274;;Mexican
132275;;Latin_American
132280;;American
132283;;Cafe-Coffee_Shop
132284;;Italian
132284;;Pizzeria
132294;;Southern
132295;;Dutch-Belgian
132298;;International
132299;;Dutch-Belgian
132300;;Pizzeria
132301;;
132306;;Breakfast-Brunch
132310;;Southwestern
132312;;Chinese
132312;;Vietnamese
132315;;Continental-European
132316;;Dutch-Belgian
132317;;Dutch-Belgian
132317;;French
132318;;Cafe-Coffee_Shop
132318;;Mediterranean
132319;;Dutch-Belgian
132319;;French
132321;;International
132324;;International
132328;;Deli-Sandwiches
132328;;Pizzeria
132329;;Deli-Sandwiches
132329;;Pizzeria
132330;;International
132331;;International
132332;;International
132335;;Bar_Pub_Brewery
132336;;American
132337;;Cafe-Coffee_Shop
132339;;American
132341;;Japanese
132341;;Sushi
132342;;Italian
132343;;Greek
132344;;Greek
132345;;Greek
132346;;Greek
132347;;Greek
132348;;Greek
132349;;Greek
132350;;Greek
132351;;Greek
132352;;Greek
132353;;Greek
132354;;Greek
132356;;Greek
132357;;Greek
132358;;Greek
132359;;Greek
132360;;Greek
132361;;Greek
132362;;Greek
132363;;Greek
132364;;Greek
132365;;Greek
132366;;Greek
132367;;Greek
132372;;Greek
132380;;Pizzeria
132381;;Pizzeria
132384;;Greek
132386;;Greek
132387;;Greek
132389;;Greek
132393;;Mexican
132395;;
132398;;Dutch-Belgian
132402;;French
132406;;Soup
132407;;Mediterranean
132408;;Dutch-Belgian
132410;;Bar_Pub_Brewery
132413;;American
132413;;International
132414;;Asian
132417;;Italian
132417;;Mediterranean
132419;;Italian
132419;;Mediterranean
132421;;Italian
132425;;Fast_Food
132429;;Dutch-Belgian
132430;;Italian
132432;;Cafe-Coffee_Shop
132433;;Dutch-Belgian
132434;;Dutch-Belgian
132435;;Dutch-Belgian
132438;;Mediterranean
132440;;Dutch-Belgian
132441;;Dutch-Belgian
132444;;Dutch-Belgian
132445;;Cafe-Coffee_Shop
132446;;French
132447;;International
132448;;Dutch-Belgian
132450;;Dutch-Belgian
132451;;Italian
132452;;Juice
132453;;Juice
132454;;Juice
132455;;Juice
132456;;Juice
132457;;Juice
132458;;Ethiopian
132459;;Dutch-Belgian
132464;;German
132469;;German
132470;;German
132474;;International
132474;;Regional
132477;;Chinese
132485;;Cafe-Coffee_Shop
132488;;Mexican
132493;;Seafood
132493;;Southwestern
132493;;Steaks
132498;;
132509;;French
132511;;German
132513;;German
132514;;Dutch-Belgian
132517;;French
132518;;Japanese
132519;;Japanese
132522;;International
132523;;International
132524;;International
132525;;International
132526;;International
132528;;International
132529;;International
132532;;Vegetarian
132533;;French
132536;;Dutch-Belgian
132537;;Dutch-Belgian
132538;;International
132539;;Cafe-Coffee_Shop
132540;;Dutch-Belgian
132541;;Steaks
132542;;International
132543;;Dutch-Belgian
132544;;French
132546;;International
132547;;International
132548;;International
132549;;International
132550;;Italian
132551;;Dutch-Belgian
132555;;International
132555;;Polish
132555;;Vegetarian
